2/13/2024, 7:57:12 PM: user-chat-id: 6668038658, is-have-premium: false, message-deleted: true, user-name: Александра, user-nick: alexandraalexana
2/13/2024, 7:57:12 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6056532063, is-have-premium: false, message-deleted: true, user-name: Саша, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:12 PM: user-chat-id: 6360172492, is-have-premium: false, message-deleted: true, user-name: Оля, user-nick: olgaolechkaaa
2/13/2024, 7:57:15 PM: user-chat-id: 6923818627, is-have-premium: false, message-deleted: true, user-name: Артем, user-nick: artembeyz
2/13/2024, 7:57:15 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:15 PM: user-chat-id: 6568746845, is-have-premium: false, message-deleted: true, user-name: Плаобаод 28.1, user-nick: undefined
2/13/2024, 7:57:15 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:15 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:15 PM: user-chat-id: 6575063748, is-have-premium: false, message-deleted: true, user-name: Денис, user-nick: undefined
2/13/2024, 7:57:15 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
